customer_id,segment,fact_type,condition,expected_answer,model_answer,correct,verdict,context_n_char
cust_518,pesado,support_ticket_count,sem_retrieval,3,,False,malformed,64
cust_518,pesado,support_ticket_count,contexto_completo,3,3,True,correct,7963
cust_518,pesado,support_ticket_count,topk_estatico,3,3,True,correct,288
cust_518,pesado,support_ticket_count,hibrido_sob_demanda,3,3,True,correct,538
cust_518,pesado,support_ticket_count,sessao_memoria,3,3,True,correct,360
cust_705,pesado,support_ticket_count,sem_retrieval,10,,False,malformed,64
cust_705,pesado,support_ticket_count,contexto_completo,10,10,True,correct,8355
cust_705,pesado,support_ticket_count,topk_estatico,10,,False,malformed,287
cust_705,pesado,support_ticket_count,hibrido_sob_demanda,10,10,True,correct,550
cust_705,pesado,support_ticket_count,sessao_memoria,10,10,True,correct,358
cust_661,pesado,support_ticket_count,sem_retrieval,4,,False,malformed,64
cust_661,pesado,support_ticket_count,contexto_completo,4,4,True,correct,3952
cust_661,pesado,support_ticket_count,topk_estatico,4,4,True,correct,301
cust_661,pesado,support_ticket_count,hibrido_sob_demanda,4,4,True,correct,502
cust_661,pesado,support_ticket_count,sessao_memoria,4,4,True,correct,357
